WhiteElo,BlackElo,pre_eval,post_eval,queen_trade_made,first_queen_trade,my_color,result
1153,1378,81,83,True,42.0,Black,0-1
1411,1384,-19,-48,False,26.0,Black,1-0
939,1385,683,668,True,26.0,Black,0-1
1329,1398,-58,-84,True,32.0,Black,1-0
989,1409,92,17,True,40.0,Black,0-1
1615,1558,-629,-667,False,58.0,Black,0-1
1411,1436,-387,-349,True,34.0,Black,1-0
1038,1537,538,528,True,28.0,Black,0-1
1481,1515,164,178,True,32.0,Black,1-0
1520,1525,-175,-175,True,20.0,Black,1-0
1549,1531,-497,-679,False,38.0,Black,1-0
1273,1537,-120,-117,True,12.0,Black,1-0
1506,1404,-70,-95,True,20.0,Black,1-0
1618,1400,-178,-698,False,36.0,Black,1-0
1812,1401,-485,-492,True,60.0,Black,1-0
1594,1511,-129,-150,True,48.0,Black,1-0
1770,1505,468,470,True,58.0,Black,1-0
1325,1386,518,531,False,50.0,Black,1-0
1417,1383,524,499,True,24.0,Black,0-1
1318,1383,25,-572,False,46.0,Black,1-0
1464,1512,-103,-103,True,52.0,Black,1-0
1266,1333,99998,99997,False,34.0,Black,1-0
1511,1535,122,22,True,42.0,Black,1-0
1578,1594,-948,-957,True,60.0,Black,1-0
1501,1522,99993,99994,False,84.0,Black,0-1
1482,1516,29,23,True,14.0,Black,0-1
1522,1533,17,-2,True,6.0,Black,1-0
1504,1519,239,236,False,42.0,Black,0-1
1491,1509,415,419,True,42.0,Black,0-1
1489,1504,99998,99999,True,46.0,Black,0-1
1529,1497,-255,-417,True,30.0,Black,0-1
1536,1487,-105,-109,True,70.0,Black,0-1
1538,1486,61,51,True,36.0,Black,0-1
1490,1476,31,-64,True,18.0,Black,1-0
1347,1459,0,-4,True,36.0,Black,0-1
1367,1460,911,924,True,42.0,Black,0-1
2154,1508,102,113,False,28.0,Black,1-0
1557,1550,541,497,True,44.0,Black,0-1
1500,1552,99999,100000,True,34.0,Black,0-1
1522,1570,160,163,True,28.0,Black,1-0
1530,1558,250,227,True,12.0,Black,0-1
1037,1568,-377,-381,True,48.0,Black,1/2-1/2
1495,1534,657,686,False,78.0,Black,0-1
1523,1529,91,20,True,26.0,Black,1-0
1512,1522,14,14,True,38.0,Black,0-1
1510,1521,627,596,True,34.0,Black,0-1
1589,1555,-113,-114,True,28.0,Black,1-0
1606,1548,-278,-302,False,30.0,Black,0-1
1549,1532,497,480,True,30.0,Black,0-1
1525,1531,170,154,False,34.0,Black,1/2-1/2
1460,1514,45,-88,True,28.0,Black,0-1
1538,1520,19,-8,True,10.0,Black,1-0
1551,1536,556,308,True,42.0,Black,0-1
1458,1527,539,540,True,60.0,Black,0-1
1622,1534,-34,-99991,True,70.0,Black,1-0
1548,1575,46,-69,True,16.0,Black,1-0
1614,1575,0,-13,True,32.0,Black,0-1
1611,1566,-6,-1,True,12.0,Black,0-1
1568,1567,48,60,True,20.0,Black,0-1
1562,1595,637,488,False,56.0,Black,1-0
1572,1583,457,469,True,48.0,Black,0-1
1629,1594,-282,-277,True,26.0,Black,1-0
1601,1614,-12,-31,True,34.0,Black,1-0
1203,1616,17,-2,True,6.0,Black,0-1
1598,1632,-661,-645,True,26.0,Black,1-0
1712,1617,-287,-273,True,42.0,Black,0-1
1560,1610,685,693,False,52.0,Black,0-1
1572,1533,412,421,True,26.0,Black,0-1
1505,1543,18,-1,True,6.0,Black,0-1
1573,1542,99997,99998,False,56.0,Black,0-1
1509,1515,230,110,True,24.0,Black,0-1
1563,1535,-96,-202,False,28.0,Black,1-0
1486,1486,144,92,True,40.0,Black,0-1
1527,1485,82,62,True,46.0,Black,1/2-1/2
1480,1473,-20,-12,True,32.0,Black,0-1
1472,1474,625,-612,False,58.0,Black,1-0
1510,1496,197,24,True,42.0,Black,1-0
1505,1501,69,59,True,16.0,Black,1-0
1585,1537,-413,-575,True,26.0,Black,1-0
1527,1538,560,560,True,20.0,Black,0-1
1545,1532,571,549,False,30.0,Black,0-1
1490,1522,678,673,True,40.0,Black,0-1
1470,1493,7,0,True,34.0,Black,0-1
1497,1487,8,-4,True,10.0,Black,0-1
1474,1491,423,-583,False,66.0,Black,0-1
1496,1476,189,145,True,18.0,Black,0-1
1410,1456,39,56,True,28.0,Black,0-1
1410,1440,49,58,True,20.0,Black,1-0
1454,1498,629,547,False,46.0,Black,0-1
1596,1572,155,108,True,38.0,Black,0-1
1549,1560,97,54,True,16.0,Black,0-1
1554,1547,504,477,True,18.0,Black,1-0
1545,1552,597,427,True,80.0,Black,1-0
1556,1481,-37,-84,True,28.0,Black,1-0
1333,1334,-374,-428,False,38.0,Black,1-0
1458,1473,85,88,True,44.0,Black,1-0
1446,1467,1004,192,True,28.0,Black,0-1
1980,1484,-464,-524,False,24.0,Black,1-0
1611,1494,-34,-40,True,20.0,Black,1-0
1485,1480,627,637,True,32.0,Black,1/2-1/2
1474,1489,754,567,True,36.0,Black,1-0
1445,1496,-511,-493,True,36.0,Black,1-0
1600,1469,-24,-34,True,30.0,Black,0-1
1457,1468,-682,-675,True,38.0,Black,1-0
1500,1450,1960,7038,True,74.0,Black,0-1
1444,1443,-199,-183,True,52.0,Black,1/2-1/2
1375,1436,189,214,False,30.0,Black,0-1
1462,1447,-541,-508,True,42.0,Black,1-0
1475,1470,-476,-520,True,56.0,Black,1-0
1781,1320,-884,-875,True,54.0,Black,1-0
1394,1338,-55,-539,True,38.0,Black,0-1
1596,1324,11,33,True,18.0,Black,1-0
1481,1460,-161,-423,True,56.0,Black,0-1
1459,1468,534,400,False,14.0,Black,1-0
905,1333,641,640,True,48.0,Black,0-1
1527,1489,-60,-66,True,68.0,Black,0-1
1462,1483,-137,-144,True,16.0,Black,0-1
1500,1491,-747,-738,True,44.0,Black,1-0
1644,1363,554,550,True,50.0,Black,1-0
1486,1361,65,40,True,60.0,Black,0-1
1510,1459,544,578,False,50.0,Black,0-1
1614,1457,-614,-713,True,40.0,Black,1-0
1255,1353,337,359,True,22.0,Black,0-1
1421,1368,-676,-666,True,54.0,Black,1-0
1290,1344,587,596,True,40.0,Black,0-1
1721,1340,195,176,True,70.0,Black,1-0
1569,1306,1437,1262,True,74.0,Black,0-1
1841,1303,-682,-660,True,52.0,Black,1-0
920,1328,1221,1170,True,56.0,Black,0-1
1107,1387,556,572,True,42.0,Black,0-1
1414,1380,490,514,True,68.0,Black,0-1
1418,1362,7,30,True,38.0,Black,0-1
1383,1345,-6,-1,True,12.0,Black,0-1
1418,1359,518,497,True,60.0,Black,0-1
1553,1377,-205,-235,True,24.0,Black,1-0
1304,1393,99,32,True,26.0,Black,1-0
1378,1400,595,431,True,22.0,Black,0-1
1544,1265,34,-148,True,66.0,Black,0-1
1258,1280,97,41,True,50.0,Black,1-0
1456,1450,41,51,True,26.0,Black,1-0
1492,1502,347,293,True,62.0,Black,0-1
1531,1498,-134,-214,True,62.0,Black,1-0
1486,1491,585,593,False,54.0,Black,0-1
1284,1269,-199,-227,True,40.0,Black,0-1
1560,1515,263,262,False,36.0,Black,0-1
1304,1500,1328,957,True,40.0,Black,0-1
1500,1495,1431,1435,False,14.0,Black,0-1
1467,1502,1066,753,True,50.0,Black,0-1
1512,1490,512,440,True,54.0,Black,0-1
1496,1523,225,-8,False,28.0,Black,1-0
1546,1524,184,182,True,28.0,Black,0-1
1586,1493,-500,-500,True,40.0,Black,1-0
1472,1492,126,31,True,32.0,Black,1-0
1378,1482,211,274,True,50.0,Black,0-1
1518,1470,17,-2,True,6.0,Black,0-1
1585,1490,-177,-185,True,44.0,Black,1-0
1463,1472,188,184,True,20.0,Black,0-1
1269,1268,535,214,True,48.0,Black,1-0
1575,1537,-127,-291,True,38.0,Black,1-0
1617,1547,667,188,True,56.0,Black,0-1
1519,1519,127,137,True,40.0,Black,0-1
1493,1511,558,388,True,40.0,Black,0-1
1541,1496,99999,99998,False,100.0,Black,0-1
1506,1462,473,457,True,42.0,Black,0-1
1412,1450,-180,-257,True,52.0,Black,1-0
1341,1266,314,220,True,42.0,Black,0-1
1362,1429,731,-377,False,18.0,Black,0-1
1700,1482,-293,-315,True,36.0,Black,1-0
1554,1481,465,450,True,14.0,Black,0-1
1613,1491,-617,-647,True,90.0,Black,1-0
1649,1272,-134,-198,True,16.0,Black,1-0
1600,1298,-132,-109,True,52.0,Black,1-0
1498,1485,442,451,True,46.0,Black,0-1
1535,1493,171,153,True,32.0,Black,1-0
1600,1523,-23,-26,True,56.0,Black,1-0
1500,1497,87,108,True,6.0,Black,0-1
1542,1523,-142,-343,True,44.0,Black,1-0
1526,1540,-129,-108,False,42.0,Black,1-0
1717,1537,11,9,True,66.0,Black,0-1
1681,1577,187,201,True,54.0,Black,0-1
1273,1310,280,271,True,40.0,Black,0-1
1395,1316,26,21,True,50.0,Black,1-0
1650,1608,-440,-617,False,24.0,Black,1-0
1333,1303,99999,99998,False,84.0,Black,0-1
1494,1569,-386,-372,True,56.0,Black,0-1
1359,1347,83,50,True,24.0,Black,1-0
1354,1353,-99999,-99999,True,48.0,Black,1-0
1320,1370,-20,-258,True,24.0,Black,1/2-1/2
1328,1359,23,-56,False,22.0,Black,1-0
1446,1351,546,540,True,24.0,Black,0-1
1531,1529,490,328,True,50.0,Black,1-0
1433,1525,-34,-53,True,22.0,Black,0-1
1500,1531,445,444,True,56.0,Black,0-1
1542,1529,-577,-604,True,88.0,Black,1-0
1529,1523,65,72,True,18.0,Black,0-1
1609,1525,49,34,True,16.0,Black,0-1
1536,1512,606,541,True,74.0,Black,0-1
1452,1502,766,771,True,34.0,Black,0-1
1494,1495,-3,-15,False,22.0,Black,0-1
1492,1475,55,-100,True,58.0,Black,0-1
1069,1438,376,349,True,76.0,Black,0-1
1431,1429,0,-22,True,54.0,Black,1/2-1/2
1315,1415,498,498,True,42.0,Black,0-1
1383,1391,-407,-407,True,70.0,Black,0-1
1356,1399,-160,-989,False,44.0,Black,1-0
1393,1392,-29,-31,True,24.0,Black,0-1
1332,1353,-1,-3,True,46.0,Black,0-1
1492,1387,68,10,False,38.0,Black,0-1
1353,1386,36,39,True,10.0,Black,1-0
1365,1389,219,165,True,56.0,Black,1-0
1307,1404,550,528,True,54.0,Black,0-1
1426,1400,-9,-49,True,30.0,Black,0-1
1404,1392,-541,-552,False,36.0,Black,1-0
1526,1385,547,562,True,60.0,Black,1-0
1332,1370,478,-11,False,38.0,Black,0-1
1378,1367,779,792,False,34.0,Black,0-1
1304,1408,681,644,True,32.0,Black,1-0
1415,1417,-541,-548,True,68.0,Black,1-0
1312,1398,357,388,True,30.0,Black,0-1
1600,1363,669,262,True,50.0,Black,1-0
1387,1373,421,369,True,38.0,Black,1-0
1369,1471,135,151,True,22.0,Black,1-0
1506,1446,1381,1389,True,68.0,Black,0-1
1508,1463,-403,-396,True,70.0,Black,1-0
1473,1449,11,-28,True,34.0,Black,0-1
1499,1444,-501,-647,True,28.0,Black,1-0
