WhiteElo,BlackElo,pre_eval,post_eval,queen_trade_made,first_queen_trade,my_color,result
1373,1259,766,531,True,45.0,White,1/2-1/2
1387,1490,242,215,False,21.0,White,1-0
1562,1591,-137,-243,True,49.0,White,1-0
1432,1436,317,316,True,35.0,White,0-1
1441,1540,719,716,True,41.0,White,0-1
1515,1506,-16,-220,True,45.0,White,1-0
1512,1494,-110,-366,False,53.0,White,1-0
1536,1048,124,116,True,17.0,White,1-0
1539,1519,545,477,True,21.0,White,1-0
1414,1396,592,-621,False,45.0,White,0-1
1404,1404,605,513,True,21.0,White,1-0
1526,1398,611,656,False,33.0,White,1-0
1405,1312,187,189,True,15.0,White,1-0
1532,1537,64,65,True,13.0,White,1-0
1429,1459,621,651,True,57.0,White,1-0
1419,1367,756,738,True,25.0,White,1-0
1408,1545,55,37,True,35.0,White,1-0
1413,1396,316,235,True,41.0,White,1/2-1/2
1567,1546,-331,-328,True,63.0,White,0-1
1456,1337,420,435,True,47.0,White,1-0
1405,1384,14,6,True,37.0,White,1-0
1397,1404,1117,740,True,31.0,White,1-0
1367,1384,170,18,True,13.0,White,1-0
1492,1478,-9,-141,True,77.0,White,1/2-1/2
1494,1356,-552,-515,True,39.0,White,1-0
1494,1188,402,437,True,51.0,White,1-0
1379,1376,-64,-170,True,35.0,White,0-1
1391,1419,-42,-97,True,49.0,White,1-0
1377,1443,706,715,True,41.0,White,1-0
1367,1500,99994,718,False,49.0,White,1-0
1367,1430,161,122,True,33.0,White,1-0
1533,1516,528,526,True,31.0,White,1-0
1527,1531,266,277,True,43.0,White,1-0
1328,1282,229,248,True,41.0,White,1-0
1541,1390,-477,-459,True,41.0,White,1-0
1364,1340,-286,-359,False,61.0,White,0-1
1561,1564,-3,-161,True,35.0,White,0-1
1379,1452,236,81,True,55.0,White,0-1
1578,1159,345,62,True,51.0,White,0-1
1551,1597,286,316,True,43.0,White,1-0
1528,1535,-22,-90,True,19.0,White,0-1
1522,1492,348,351,True,79.0,White,1-0
1330,1361,-155,-425,False,37.0,White,0-1
1527,1516,434,441,True,53.0,White,1-0
1525,1486,-435,-430,True,49.0,White,0-1
1520,1480,997,656,False,49.0,White,1-0
1509,1515,-38,-45,True,49.0,White,1-0
